,Sentiment_Score,Tweet
91,-2,"RT @KeahuKahuanui: ""We need someone we can trust..."" - Donald Trump. Does he mean himself? Can I call ""bullshit"" now?"
92,-2,RT @BBCWorld: Malala Yousafzai condemns Donald Trump's call to ban Muslims from entering US https://t.co/HcEW8ZVECw https://t.co/yXHBXxT6W9
93,-2,"Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/DkbweWglcm"
94,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/q5Rp1NneIF
95,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/e2teu4p4wf
96,-1,RT @BlissTabitha: Donald Trump Squashes Jeb Bush Like a Bug at CNN Debate - YouTube https://t.co/uVzopdovm3
97,-2,RT @MakeItPlain: Donald Trump's doctor blamed for patient's death https://t.co/1RoP8lzMyI #politics #Republicans #DrHaroldBornstein #Donald…
98,0,"RT @TIME: Trump: ""I don’t care what’s happening in other countries. I only care about this country"" https://t.co/iS8T4NPBWj https://t.co/2I…"
99,0,RT @benshapiro: Donald Trump enters https://t.co/fn53ByhQWm
100,-5,Malala issues Trump smackdown https://t.co/KbA7CWQuHk
101,-2,"RT @guardian: Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/RIZHgc4ztL"
102,-1,"Donald Trump and His Hair Oppose Offshore Wind Farm, Saying It Ruins View from his Golf Course’s Despoiled Land https://t.co/bVkWwPfc2i via"
103,1,"So Donald Trump is right in his demand?? NO WAYYYYY, he is not nor these people are  https://t.co/1rjVbx2nfn"
104,0,"Donald Trump, CIA https://t.co/6oW8D4YSsV via @imgur"
105,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/TDJEaUyhQz
106,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/zely0IrxX1
107,-2,RT @nytimes: Donald Trump came under sustained attack from Republican candidates during the #GOPDebate https://t.co/VEfl0lEhOk https://t.co…
108,0,"RT @sageboggs: jeb bush: donald trump should not be president
donald trump: jeb bush should not be president
ben carson: my best friend is …"
109,0,RT @AnonyOps: #GOPDebate: Donal Trump wants to “penetrate” the internet. I feel violated already :/ https://t.co/fxnuTczlir https://t.co/lm…
110,3,#SM Ted Koppel Just Leveled Massive Accusation Against Trump… This Will Have ‘The Donald’ FURIOUS: The former ... https://t.co/oGmlzP0rWU
111,-2,"Donald Trump's Muslim views 'tragic &amp; full of hatred', says Malala Yousafzai https://t.co/0Wo52GdQWe"
112,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
113,1,"Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai: Nobel prize winner and girls’ ... https://t.co/pm0pEWkRBR"
114,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/nXwrLQ6KSJ
115,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/mtRiZeJ3H9
116,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/1ZOB3Kw10C
117,1,.@FloEagle RT @stephenfhayes: Think this is easily Donald Trump's best debate. #gopdebate
118,-1,RT @BlissTabitha: Donald Trump Squashes Jeb Bush Like a Bug at CNN Debate - YouTube https://t.co/uVzopdovm3
119,-1,I hate that Donald Trump is in my favorite xmas movie aka Home Alone 2. He ruins everything.
120,0,"RT @SteveSuckington: I'm just sayin, I've never seen a troll doll and Donald Trump in the same room. http://t.co/tYZPkmRcA5"
121,0,RT @intifada: The Atlantic's @jeffreygoldberg once put a Palestinian in solitary confinement for refusing to recognize Israel https://t.co/…
122,0,"""Donald Trump gets schooled on foreign policy in debate https://t.co/wQbsrSmg4i https://t.co/am3PtSsIgJ"""
123,-2,RT @YourBoyAustin_: The worst thing about Donald Trump running for president is people are actually going to vote for him...
124,0,Tom Brady -- I Still Support Donald Trump ... 'He's a Good Friend' https://t.co/rQ1yWN59Pl
125,-2,"RT @johnnyreb1864: Newsmax Prime | Bradley Blakeman and Scottie Nell Hughes - Has Donald Trump has gone too far?
@DanScavino  https://t.co/…"
126,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/eqgwj5iGNf
127,-6,"Trump sneers, Jeb jeers, America fears: Simon says: Trump would be well advised to ignore Jeb Bush. No matter ... https://t.co/4byo339sYP"
128,3,"RT @lovelive_txt: who would be a better president
rt for nico yazawa
fav for donald trump http://t.co/QrtNcqTL3J"
129,2,"RT @BCAppelbaum: ""Nothing works in this country"" Donald Trump tells an audience of well-fed people in large homes watching on high-definiti…"
130,-1,Mental Health Experts Explain Why Donald Trump Is In The Lead https://t.co/30cncl5D4T via @medicaldaily
131,-2,RT @TheFakeCNN: Donald Trump suggests sending Muslims who are already here to 'special camps that will help them concentrate.'
132,-2,Donald Trump is that kid on Xbox live that would shout racist slurs in his microphone in the group chat just to get a response
133,-1,RT @BlissTabitha: Donald Trump Squashes Jeb Bush Like a Bug at CNN Debate - YouTube https://t.co/uVzopdovm3
134,0,What if Donald Trump is just a particularly dank meme?
135,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/QxDAxEAtXM
136,-1,"@klustout Russia, Pakistan, North Korea and Donald Trump."
137,-1,RT @OmarImranTweets: I Agree with Donald Trump. Ban All the Muslims. https://t.co/NsCoOeLfif
138,3,"RT @AJEnglish: ""Donald Trump likes to talk. Or perhaps to be more accurate, he likes people to listen"" https://t.co/ZHdcrmWOMo https://t.co…"
139,-2,"RT @ToriWilson15: Me: why is Donald Trump's hairline is always blurred out on TV?
My dad: he pays them to do that so no one will see the di…"
140,3,#SM Ted Koppel Just Leveled Massive Accusation Against Trump… This Will Have ‘The Donald’ FURIOUS: The former ... https://t.co/3vtxnuD6nb
141,1,"RT @DJKhaledSpeaks: Who do you want as your next president?

RT - DJ Khaled
LIKE - Donald Trump https://t.co/Fdc1YwvqLz"
142,1,"RT @DJKhaledSpeaks: Who do you want as your next president?

RT - DJ Khaled
LIKE - Donald Trump https://t.co/Fdc1YwvqLz"
143,2,"RT @ConceptGrp: Donald Trump: ""I was blessed with a very good brain"" https://t.co/1WWpzjj2Nn https://t.co/UY6kiwUqGW"
144,3,"RT @AJEnglish: ""Donald Trump likes to talk. Or perhaps to be more accurate, he likes people to listen"" https://t.co/ZHdcrmWOMo https://t.co…"
145,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/6NXgKwh9la
146,-1,"RT @Trump2016online: Watch LIVE: Donald Trump Rally in Mesa, AZ - Dec 16, 2015 - 12:00 PM (MST) https://t.co/vl4foolIeR #Trump2016"
147,-2,RT @NadineBabu: I keep waiting for Ashton Kutcher to join Donald Trump on stage and tell America they've been punk'd. #GOPDebate
148,-2,"[Rott&amp;Meyer] Darum hat Donald Trump die Fähigkeit, Präsident zu werden! https://t.co/0PexW56jIc"
149,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
150,-2,Malala condemns Donald Trump call for Muslim ban in US https://t.co/3dNyId866w
151,-2,RT @BBCWorld: Malala Yousafzai condemns Donald Trump's call to ban Muslims from entering US https://t.co/HcEW8ZVECw https://t.co/yXHBXxT6W9
152,1,Donald Trump sometimes sounds like Bobby Newport from Parks &amp; Rec. #GOPDebate
153,-2,"RT @guardian: Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/RIZHgc4ztL"
154,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/kCN1LLSeRA
155,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/s3dOVVR9F6
156,0,Am looking forward to heads exploding all over twitter and all across America when Donald Trump wins the GOP nomination.
157,0,RT @blewthebigone: Retweet if you are 100 PERCENT voting for Donald Trump
158,-1,RT @THE617VIP: #DonaldTrump likely #WINNER of #GOPDebate.  #GOPDebatePredictions MANY #lies to be told. https://t.co/VliB3GUYG1 https://t.c…
159,-2,Donald Trump will a chaos #candidate says fellow Republican Jeb Bush
160,0,"RT @LindaSuhler: Donald Trump: It's Not About Isolation but About Security
#GOPDebate
#Trump2016
https://t.co/zlOAfuu1I2
#tcot https://t.co…"
161,-2,i swear donald trump is so dangerous
162,0,"RT @bpolitics: Donald Trump, not having it https://t.co/Wh7Z9Ls2VB #GOPDebate https://t.co/vpRDHpZwjk"
163,1,"RT @kcmoore51: *plays with Donald Trump's luxurious hair*

#BT140"
164,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/oP9GCMKCLY
165,0,"When Donald #Trump gets flustered, his facial expression is similar to that of a man getting a rectal exam."
166,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/WAKDZeuNPR
167,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
168,0,Yuuuuuuuge! Donald Trump's Best GOP Debate Yet https://t.co/ryjJsXrs5K
169,1,RT @ALLCAPSOFFICE: when donald trump says he wants to build a wall: https://t.co/962t9ez4lg
170,-2,RT @FilipTegstedt: I hope you all realize that Donald Trump is only running for president so he can steal The Heart of Gold.
171,-2,"RT @rupertmurdoch: Donald Trump seems to be getting even more thin  skinned!
Is flying around the country every day tiring him?  Would anyb…"
172,-2,RT @geopolytica: La propuesta de Donald Trump de limitar internet causó revuelo entre los aspirantes republicanos https://t.co/FDxI5AuoY6 v…
173,-1,RT @BlissTabitha: Donald Trump Squashes Jeb Bush Like a Bug at CNN Debate - YouTube https://t.co/uVzopdovm3
174,1,"RT @DJKhaledSpeaks: Who do you want as your next president?

RT - DJ Khaled
LIKE - Donald Trump https://t.co/Fdc1YwvqLz"
175,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/XDgEJkMeJz
176,0,RT @GiZPress: Donald Trump Dominates Twitter on Debate Nights https://t.co/5rOXXQupcA https://t.co/k1yYAya15r
177,0,RT @thehill: Poll: More people would vote for Darth Vader than Donald Trump https://t.co/CJGY8ii1ZK https://t.co/mm6EyQ7YWe
178,0,RT @saxhoe: donald trump: make america a fascist ran country by eliminating all rights of the american people https://t.co/IZdx33l1UR
179,3,"RT @YousefMunayyer: Yes, Donald Trump does not know what the Triad is. How many of his supporters are supporting him because of his nuanced…"
180,1,RT @TheTweetOfGod: Donald Trump is a huge asshole who is ahead in the polls because millions and millions of Americans are also huge asshol…
181,0,RT @AnonyOps: #GOPDebate: Donal Trump wants to “penetrate” the internet. I feel violated already :/ https://t.co/fxnuTczlir https://t.co/lm…
182,4,RT @pentimentoNY: Donald Trump's favorite Brand New record is Daisy and that's honestly enough of a reason to vote for Bernie Sanders.
183,-1,"RT @terranceluvsme: Donald trump: I hate country music
Me: http://t.co/uxdIpo6bpR"
184,-1,"Republicans reject Donald Trump’s Muslim ban, but not Donald Trump https://t.co/2XMlfdmjHi"
185,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
186,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/XpCfcyDk2A
187,2,RT @CNNMex: Donald Trump es el favorito de 41% de los republicanos en EU https://t.co/sO8Yfnz7en https://t.co/9CusyLBrtP
188,-1,RT @DieVerseCA: When Donald Trump sends you back to the wrong country https://t.co/flqVjHdQIy
189,0,"RT @TIME: Kareem Abdul-Jabbar: ""Donald Trump has more in common with ISIS than America"" https://t.co/cBeaIoaqoO"
190,0,RT @TRobinsonNewEra: https://t.co/FBBxw2IlOM Trump is right!’ Police say parts of Britain ARE no-go areas due to ISIS radicalisation
191,0,Peraih Nobel Malala Kecam Pernyataan Donald Trump https://t.co/H3jKUPjUrp #Asia
192,-1,"RT @sierraclub: Did Donald Trump just call global warming ""inconceivable?"" #GOPDebate https://t.co/hW10EmN3m7"
193,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
194,1,"RT @DJKhaledKnows: Who do you want as your president?
RT - DJ Khaled
FAV - Donald Trump https://t.co/Qi7Wqrh6Jw"
195,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/6SpzuX8iAK
196,0,RT @ajplus: Hmmm...do we think Donald Trump understands what the internet is? #GOPDebate https://t.co/p9ErogZfsr
197,1,"RT @WritersofColour: We can call out Donald Trump in America, but what about those just like him in the UK? 
https://t.co/zhTw7pw4lJ https:…"
198,1,RT @jxckhy: When you support Donald Trump and haven't tweeted about Muslims or guns for 5 minutes https://t.co/p289Iq2cLp
199,0,RT @TheMelaninPlug: She knew Donald Trump was full of shit years ago. https://t.co/Sgs1YHppIJ
200,0,CLOSE UP THE INTERNET: Donald Trump wants to shut down parts of the Internet https://t.co/k5b7R7FWsY
201,1,"Donald ""Schnicklegruber"" Trump will flush all the good will from Paris COP21 down the toilet."
202,1,@NunButSteez smh they the reason donald trump wants to send me back
203,3,"RT @AJEnglish: ""Donald Trump likes to talk. Or perhaps to be more accurate, he likes people to listen"" https://t.co/ZHdcrmWOMo https://t.co…"
204,2,RT @TheDailyShow: A quick candidate refresher: Donald Trump #GOPDebate https://t.co/kksyJJJYUT
205,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/eHsy8GP3lg
206,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/H2LTRZm1KZ
207,1,"RT @DJKhaledSpeaks: Who do you want as your next president?

RT - DJ Khaled
LIKE - Donald Trump https://t.co/Fdc1YwvqLz"
208,0,Donald Trump Dominates Twitter on Debate Nights - TIME https://t.co/gwfu6WXg0W
209,-1,Donald Trump and the Epidemic of Voter Attention Deficit Disorder https://t.co/WW8z3Vt1nG #Linkedin
210,2,RT @TheDailyShow: A quick candidate refresher: Donald Trump #GOPDebate https://t.co/kksyJJJYUT
211,0,Peraih Nobel Malala Kecam Pernyataan Donald Trump https://t.co/7Tk67NPRBM
212,0,RT @CNNPolitics: .@realDonaldTrump pledges his allegiance to the GOP and rules out an independent bid https://t.co/Y8eFCSiDgR https://t.co/…
213,3,RT @ortuist: *patiently waits for donald trump to be revealed as marina abramovic's longest-running piece of performance art*
214,-1,"RT @KazmierskiR: Donald J. Trump, will be the United States 45'th President!!!  Write it down..:D https://t.co/SekWfdNsqU"
215,1,When you're trying to grow your hair out and realize you look like Donald Trump in a wind storm. #longhairedhippie https://t.co/36ox6DNEcn
216,-4,"RT @rubin: Hier soir Donald Trump a proposé de ""fermer"" Internet pour lutter contre le terrorisme.

Il ferait décidément un carton en Franc…"
217,-2,"RT @guardian: Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/RIZHgc4ztL"
218,-1,RT @briangaar: Donald Trump is basically a YouTube comment section running for president
219,0,"RT @TIME: Trump: ""I don’t care what’s happening in other countries. I only care about this country"" https://t.co/iS8T4NPBWj https://t.co/2I…"
220,-2,"Jeb Bush, sobre Donald Trump: ""Es muy bueno con los titulares, pero sería el presidente del… https://t.co/FE3GQeY5dC https://t.co/0EEFUrIZhP"
221,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
222,0,"Depat Capres Republik, Donald Trump Vs Jeb Bush Soal ISIS https://t.co/7IsWMoWNBk"
223,-1,Republican debate: Rubio and Cruz vie to eclipse 'chaos candidate' Trump https://t.co/KnMwjAkpXZ
224,1,"Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai: Nobel prize winner and girls’ ... https://t.co/L7ho3WxPLR"
225,0,Franck Underwood ferai un bien meilleur président que Donald Trump #HouseofCards
226,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/e2teu4p4wf
227,-4,RT @MacMiller: Just don't forget about the ridiculously large amount of humans who are down to have Donald Trump be present. There is work …
228,2,Donald Trump es el favorito de 41% de los republicanos en EU https://t.co/RGM6jiu0Sd
229,0,"RT @sageboggs: jeb bush: donald trump should not be president
donald trump: jeb bush should not be president
ben carson: my best friend is …"
230,-1,"Jeb Bush, sobre Donald Trump: ""Es muy bueno con los titulares, pero sería el… https://t.co/56fsjag648 | #HuffPost https://t.co/ZrpXrgAzKA"
231,0,Donald Trump Shuts Down Jeb Bush At GOP Debate On CNN #GOPDebate https://t.co/2qImNFyt2m via @YouTube
232,0,RT @CNNPolitics: .@realDonaldTrump pledges his allegiance to the GOP and rules out an independent bid https://t.co/Y8eFCSiDgR https://t.co/…
233,3,"AJEnglish : ""Donald Trump likes to talk. Or perhaps to be more accurate, he likes people t… https://t.co/RtcyTxlSrH) https://t.co/Mg4nPsl68t"
234,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
235,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/dQcsPwjw45
