,Sentiment_Score,Tweet
37,0,"Hillary outlines strategy to fight ISIS influence in US: 

MINNEAPOLIS  Hillary Clinton outlined a five-part p... https://t.co/kF7prGensG"
38,0,Lol why does Fiorina keep bringing Hillary Clinton up? #PlsChill
39,0,Hillary Clinton’s chief strategist Joel Benenson on bringing campaign tactics to brands | M… https://t.co/BHaORqeJaL https://t.co/ARqE6VWTPu
40,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
41,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
42,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
43,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
44,0,Found that second pic of my uncle with Hillary Clinton. https://t.co/ex7lcjMFrc
45,0,RT @hermanbutler1: Hillary Clinton Calls Out Trump And Rubio On Immigration  ABC News - https://t.co/Nhd90W1lHa #TNTweeters #TNTvote #AINF …
46,0,RT @hermanbutler1: Hillary Clinton Calls Out Trump And Rubio On Immigration  ABC News - https://t.co/Nhd90W1lHa #TNTweeters #TNTvote #AINF …
47,-2,"RT @hautedamn: Hillary Clinton just showed everyone she has NO IDEA what jihad means.

Maybe because it's not a Spanish word? https://t.co/…"
48,0,"Hillary outlines strategy to fight ISIS influence in US: 

MINNEAPOLIS  Hillary Clinton outlined a five-part p... https://t.co/kF7prGensG"
49,0,"RT @Activista0: #TNTvote
#AINF
#HillaryClinton announces new piece of #ImmigrationReform policy @UNITEDWEDREAM #UniteBlue #tcot #p2
https:/…"
50,0,RT @geosplace: The questions  journalists should be asking Hillary Clinton https://t.co/FFhasJW3mF via @DCExaminer Most journalists are Dem…
51,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
52,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
53,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
54,3,RT @OpenSecretsDC: Ted Cruz leads in donations from gun rights groups. Hillary Clinton got the most from gun control orgs. https://t.co/XRp…
55,0,Found that second pic of my uncle with Hillary Clinton. https://t.co/ex7lcjMFrc
56,0,Found that second pic of my uncle with Hillary Clinton. https://t.co/ex7lcjMFrc
57,0,RT @hermanbutler1: Hillary Clinton Calls Out Trump And Rubio On Immigration  ABC News - https://t.co/Nhd90W1lHa #TNTweeters #TNTvote #AINF …
58,-2,"RT @hautedamn: Hillary Clinton just showed everyone she has NO IDEA what jihad means.

Maybe because it's not a Spanish word? https://t.co/…"
59,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
60,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
61,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
62,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
63,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
64,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
65,3,RT @OpenSecretsDC: Ted Cruz leads in donations from gun rights groups. Hillary Clinton got the most from gun control orgs. https://t.co/XRp…
66,3,RT @OpenSecretsDC: Ted Cruz leads in donations from gun rights groups. Hillary Clinton got the most from gun control orgs. https://t.co/XRp…
67,0,Found that second pic of my uncle with Hillary Clinton. https://t.co/ex7lcjMFrc
68,0,RT @hermanbutler1: Hillary Clinton Calls Out Trump And Rubio On Immigration  ABC News - https://t.co/Nhd90W1lHa #TNTweeters #TNTvote #AINF …
69,0,"Dans le NYTimes, Hillary Clinton veut une action coordonnée des acteurs du net contre ISIS - https://t.co/Jcck3qxEgO"
70,-1,RT @ldbrillante: Hillary got $21.7 million for 92 prvt appearances since 2013 Bulk bght &amp; paid 4 by Wall St! https://t.co/UtLXVXoAt5 https:…
71,0,RT @geosplace: The questions  journalists should be asking Hillary Clinton https://t.co/FFhasJW3mF via @DCExaminer Most journalists are Dem…
72,0,RT @geosplace: The questions  journalists should be asking Hillary Clinton https://t.co/FFhasJW3mF via @DCExaminer Most journalists are Dem…
73,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
74,-2,The GOP is right: Hillary Clinton has single-handedly caused all of the problems in the history of the world forever. #GOPDebate
75,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
76,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
77,3,RT @OpenSecretsDC: Ted Cruz leads in donations from gun rights groups. Hillary Clinton got the most from gun control orgs. https://t.co/XRp…
78,0,Found that second pic of my uncle with Hillary Clinton. https://t.co/ex7lcjMFrc
79,0,Lol why does Fiorina keep bringing Hillary Clinton up? #PlsChill
80,-2,Exposing the I.S.I.S Lie: How President Obama &amp; Hillary Clinton Created ... https://t.co/K2EqFtaRv7 via @YouTube
81,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
82,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
83,0,RT @geosplace: The questions  journalists should be asking Hillary Clinton https://t.co/FFhasJW3mF via @DCExaminer Most journalists are Dem…
84,-2,"Hillary Clinton: US Needs '360-Degree' Anti-Terror Strategy
https://t.co/fMwJixvtR9 https://t.co/0t2qm0GMrJ"
85,-2,The GOP is right: Hillary Clinton has single-handedly caused all of the problems in the history of the world forever. #GOPDebate
86,-2,The GOP is right: Hillary Clinton has single-handedly caused all of the problems in the history of the world forever. #GOPDebate
87,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
88,3,RT @OpenSecretsDC: Ted Cruz leads in donations from gun rights groups. Hillary Clinton got the most from gun control orgs. https://t.co/XRp…
89,0,"Hillary outlines strategy to fight ISIS influence in US: 

MINNEAPOLIS  Hillary Clinton outlined a five-part p... https://t.co/kF7prGensG"
90,0,"RT LivosEnergy Hillary Clinton’s Renewable Energy Plans are Good News for Solar Power
 https://t.co/a0Xalw4Z4b #Solar #Renewables"
91,-1,RT @ldbrillante: Hillary got $21.7 million for 92 prvt appearances since 2013 Bulk bght &amp; paid 4 by Wall St! https://t.co/UtLXVXoAt5 https:…
92,-1,RT @ldbrillante: Hillary got $21.7 million for 92 prvt appearances since 2013 Bulk bght &amp; paid 4 by Wall St! https://t.co/UtLXVXoAt5 https:…
93,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
94,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
95,-2,"Hillary Clinton: US Needs '360-Degree' Anti-Terror Strategy
https://t.co/fMwJixvtR9 https://t.co/0t2qm0GMrJ"
96,-2,"Hillary Clinton: US Needs '360-Degree' Anti-Terror Strategy
https://t.co/fMwJixvtR9 https://t.co/0t2qm0GMrJ"
97,-2,The GOP is right: Hillary Clinton has single-handedly caused all of the problems in the history of the world forever. #GOPDebate
98,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
99,-2,"RT @hautedamn: Hillary Clinton just showed everyone she has NO IDEA what jihad means.

Maybe because it's not a Spanish word? https://t.co/…"
100,0,RT @gerfingerpoken2: (IBD) Hillary Clinton's Culture Of Corruption May Doom Candidacy https://t.co/wdbMiUYYRf - #IBDeditorials - https://t.…
101,-2,Exposing the I.S.I.S Lie: How President Obama &amp; Hillary Clinton Created ... https://t.co/K2EqFtaRv7 via @YouTube
102,-2,Exposing the I.S.I.S Lie: How President Obama &amp; Hillary Clinton Created ... https://t.co/K2EqFtaRv7 via @YouTube
103,-1,RT @ldbrillante: Hillary got $21.7 million for 92 prvt appearances since 2013 Bulk bght &amp; paid 4 by Wall St! https://t.co/UtLXVXoAt5 https:…
104,2,"""The ridiculous left-wing 'crusade' against Hillary Clinton needs to ""stop:"" https://t.co/4xZ9RirHRO #HillaryClinton #Hilary #Hilary2016 #US"
105,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
106,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
107,-2,"Hillary Clinton: US Needs '360-Degree' Anti-Terror Strategy
https://t.co/fMwJixvtR9 https://t.co/0t2qm0GMrJ"
108,-2,The GOP is right: Hillary Clinton has single-handedly caused all of the problems in the history of the world forever. #GOPDebate
109,0,RT @hermanbutler1: Hillary Clinton Calls Out Trump And Rubio On Immigration  ABC News - https://t.co/Nhd90W1lHa #TNTweeters #TNTvote #AINF …
110,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
111,0,"RT LivosEnergy Hillary Clinton’s Renewable Energy Plans are Good News for Solar Power
 https://t.co/a0Xalw4Z4b #Solar #Renewables"
112,0,"RT LivosEnergy Hillary Clinton’s Renewable Energy Plans are Good News for Solar Power
 https://t.co/a0Xalw4Z4b #Solar #Renewables"
113,-2,Exposing the I.S.I.S Lie: How President Obama &amp; Hillary Clinton Created ... https://t.co/K2EqFtaRv7 via @YouTube
114,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
115,2,"""The ridiculous left-wing 'crusade' against Hillary Clinton needs to ""stop:"" https://t.co/4xZ9RirHRO #HillaryClinton #Hilary #Hilary2016 #US"
116,2,"""The ridiculous left-wing 'crusade' against Hillary Clinton needs to ""stop:"" https://t.co/4xZ9RirHRO #HillaryClinton #Hilary #Hilary2016 #US"
117,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
118,-2,"Hillary Clinton: US Needs '360-Degree' Anti-Terror Strategy
https://t.co/fMwJixvtR9 https://t.co/0t2qm0GMrJ"
119,0,Found that second pic of my uncle with Hillary Clinton. https://t.co/ex7lcjMFrc
120,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
121,0,RT @gerfingerpoken2: (IBD) Hillary Clinton's Culture Of Corruption May Doom Candidacy https://t.co/wdbMiUYYRf - #IBDeditorials - https://t.…
122,0,RT @gerfingerpoken2: (IBD) Hillary Clinton's Culture Of Corruption May Doom Candidacy https://t.co/wdbMiUYYRf - #IBDeditorials - https://t.…
123,0,"RT LivosEnergy Hillary Clinton’s Renewable Energy Plans are Good News for Solar Power
 https://t.co/a0Xalw4Z4b #Solar #Renewables"
124,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
125,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
126,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
127,2,"""The ridiculous left-wing 'crusade' against Hillary Clinton needs to ""stop:"" https://t.co/4xZ9RirHRO #HillaryClinton #Hilary #Hilary2016 #US"
128,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
129,3,RT @OpenSecretsDC: Ted Cruz leads in donations from gun rights groups. Hillary Clinton got the most from gun control orgs. https://t.co/XRp…
130,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
131,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
132,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
133,0,RT @gerfingerpoken2: (IBD) Hillary Clinton's Culture Of Corruption May Doom Candidacy https://t.co/wdbMiUYYRf - #IBDeditorials - https://t.…
134,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
135,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
136,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
137,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
138,2,"""The ridiculous left-wing 'crusade' against Hillary Clinton needs to ""stop:"" https://t.co/4xZ9RirHRO #HillaryClinton #Hilary #Hilary2016 #US"
139,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
140,1,"RT @melaninbri: here's a game...

take a shot of whatever drink when you hear the words
""(Barack) Obama""
""Hillary (Clinton)""
""Syrian refuge…"
141,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
142,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
143,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
144,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
145,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
146,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
147,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
148,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
149,-2,The GOP is right: Hillary Clinton has single-handedly caused all of the problems in the history of the world forever. #GOPDebate
150,0,Questions Legitimate Journalists Should Be Asking Hillary Clinton - RealClearPolitics https://t.co/AUgGVy2wsy https://t.co/qAQj54OPs8
151,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
152,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
153,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
154,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
155,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
156,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
157,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
158,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
159,-2,"Hillary Clinton: US Needs '360-Degree' Anti-Terror Strategy
https://t.co/fMwJixvtR9 https://t.co/0t2qm0GMrJ"
160,2,RT @GKMTNtwits: What a real leader sounds like: @HillaryClinton talking homeland security! https://t.co/9OQTBH37Xa @maddow https://t.co/KGl…
161,1,"RT @melaninbri: here's a game...

take a shot of whatever drink when you hear the words
""(Barack) Obama""
""Hillary (Clinton)""
""Syrian refuge…"
162,1,"RT @melaninbri: here's a game...

take a shot of whatever drink when you hear the words
""(Barack) Obama""
""Hillary (Clinton)""
""Syrian refuge…"
163,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
164,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
165,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
166,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
167,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
168,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
169,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
170,3,RT @GKMTNtwits: What a real leader sounds like: @HillaryClinton talking homeland security! https://t.co/9OQTBH37Xa @allinwithchris https://…
171,0,Questions Legitimate Journalists Should Be Asking Hillary Clinton - RealClearPolitics https://t.co/AUgGVy2wsy https://t.co/qAQj54OPs8
172,0,Questions Legitimate Journalists Should Be Asking Hillary Clinton - RealClearPolitics https://t.co/AUgGVy2wsy https://t.co/qAQj54OPs8
173,1,"RT @melaninbri: here's a game...

take a shot of whatever drink when you hear the words
""(Barack) Obama""
""Hillary (Clinton)""
""Syrian refuge…"
174,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
175,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
176,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
177,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
178,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
179,2,"""The ridiculous left-wing 'crusade' against Hillary Clinton needs to ""stop:"" https://t.co/4xZ9RirHRO #HillaryClinton #Hilary #Hilary2016 #US"
180,0,"And for that, Hillary Clinton is a big big contender whichever you look at it  https://t.co/1faJpFNMpm"
181,2,RT @GKMTNtwits: What a real leader sounds like: @HillaryClinton talking homeland security! https://t.co/9OQTBH37Xa @maddow https://t.co/KGl…
182,2,RT @GKMTNtwits: What a real leader sounds like: @HillaryClinton talking homeland security! https://t.co/9OQTBH37Xa @maddow https://t.co/KGl…
183,0,Questions Legitimate Journalists Should Be Asking Hillary Clinton - RealClearPolitics https://t.co/AUgGVy2wsy https://t.co/qAQj54OPs8
184,0,RT @geosplace: The questions  journalists should be asking Hillary Clinton https://t.co/FFhasJW3mF via @DCExaminer Most journalists are Dem…
185,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
186,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
187,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
188,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
189,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
190,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
191,3,RT @GKMTNtwits: What a real leader sounds like: @HillaryClinton talking homeland security! https://t.co/9OQTBH37Xa @allinwithchris https://…
192,3,RT @GKMTNtwits: What a real leader sounds like: @HillaryClinton talking homeland security! https://t.co/9OQTBH37Xa @allinwithchris https://…
193,2,RT @GKMTNtwits: What a real leader sounds like: @HillaryClinton talking homeland security! https://t.co/9OQTBH37Xa @maddow https://t.co/KGl…
194,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
195,0,RT @geosplace: The questions  journalists should be asking Hillary Clinton https://t.co/FFhasJW3mF via @DCExaminer Most journalists are Dem…
196,0,RT @geosplace: The questions  journalists should be asking Hillary Clinton https://t.co/FFhasJW3mF via @DCExaminer Most journalists are Dem…
197,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
198,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
199,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
200,-3,"RT @GodfreyHuguley: Hillary Clinton:We must stand against hateful, inflammatory, anti-muslim rhetoric. She left off jacka#s. #comedy #stand…"
201,0,"And for that, Hillary Clinton is a big big contender whichever you look at it  https://t.co/1faJpFNMpm"
202,0,"And for that, Hillary Clinton is a big big contender whichever you look at it  https://t.co/1faJpFNMpm"
203,3,RT @GKMTNtwits: What a real leader sounds like: @HillaryClinton talking homeland security! https://t.co/9OQTBH37Xa @allinwithchris https://…
204,-1,RT @ldbrillante: Hillary got $21.7 million for 92 prvt appearances since 2013 Bulk bght &amp; paid 4 by Wall St! https://t.co/UtLXVXoAt5 https:…
205,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
206,0,RT @cnnbrk: Fiorina: Hillary Clinton and Barack Obama are responsible for the growth of ISIS #GOPdebate https://t.co/xRsP634FFg https://t.c…
207,0,RT @geosplace: The questions  journalists should be asking Hillary Clinton https://t.co/FFhasJW3mF via @DCExaminer Most journalists are Dem…
208,-1,Electing Hillary Clinton would be more detrimental to the U.S than electing trump. My skin recedes every time she speaks..
209,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
210,-1,"RT @NolteNC: Rape-Hoaxer Lena Dunham to Campaign for Rape-Denier Hillary Clinton 

https://t.co/DpPHDwqOcP https://t.co/WrFlyKlBg3"
211,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
212,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
213,0,"And for that, Hillary Clinton is a big big contender whichever you look at it  https://t.co/1faJpFNMpm"
214,-2,Exposing the I.S.I.S Lie: How President Obama &amp; Hillary Clinton Created ... https://t.co/K2EqFtaRv7 via @YouTube
215,-1,RT @ldbrillante: Hillary got $21.7 million for 92 prvt appearances since 2013 Bulk bght &amp; paid 4 by Wall St! https://t.co/UtLXVXoAt5 https:…
216,-1,RT @ldbrillante: Hillary got $21.7 million for 92 prvt appearances since 2013 Bulk bght &amp; paid 4 by Wall St! https://t.co/UtLXVXoAt5 https:…
